Risk Id,Location,Guide Word,Parameter,Meaning,Consequence,Risk
405,Object,"More (more of, higher)",Level of detail,Object has more LOD than expected,,Object is not recognized at all or not correctly at certain distances
406,Object,"More (more of, higher)",Level of detail,Object has more LOD than expected,,
407,Object,"Less (less of, lower)",Level of detail,Object has less LOD than expected,Object looks less different at different distances than expected,CV alg. expects more structures at zoom-in for better classification but these structures are not present
408,Object,"Less (less of, lower)",Level of detail,Object has less LOD than expected,,
409,Object,"Less (less of, lower)",Level of detail,Object has less LOD than expected,,
410,Object,As well as,Level of detail,Object has both more and less LOD than expected,"Depending on orientation, Object looks either more or less different at different distances than expected","Depending on orientation, object is not correctly recognized"
411,Object,Part of,Level of detail,Part of the Object has unexpected LOD,See As well as,See As well as
412,Object,Reverse,Level of detail,LOD changes with increasing distance inversely to expected,Object looks differently from expected at all (at least many) distances,Object is (likely) not correctly recognized at many distances
413,Object,Other than,Level of detail,LOD is other than expected,"See More, Less, Part of, Reverse","See More, Less, Part of, Reverse"
414,Object,Temporal periodic,Level of detail,LOD changes periodically,"LOD depends on time of recording, but periodically (and hence predictable)",Object is sometimes not correctly recognized
415,Object,Temporal aperiodic,Level of detail,LOD changes aperiodically,"LOD depends on time of recording, not periodically (and hence not  predictable)",See Temporal periodic
416,Object,Close,Level of detail,Object has unexpected LOD at small distance,"At close-ups, Object looks differently than expected","If too close, Object is not correctly recognized"
417,Object,Remote,Level of detail,Object has unexpected LOD at large distance,"If remote, Object looks differently than expected","If too far away, Object is not correctly recognized"
418,Object,Before,Level of detail,Analogue to Size ,See Size,See Size
419,Object,After,Level of detail,Analogue to Size ,See Size,See Size
420,Object,Faster,Level of detail,LOD changes faster than expected,See Compl.,See Compl.
421,Object,No (not none),Spectrum,Object has no specific colour,"Object's colour fully depends on incoming light, i.e. it reflects all light as received",Object is not recognized at all (e.g. a white wall or a mirror)
422,Object,No (not none),Spectrum,Object has no specific colour,,Object is confused with that of projected image (e.g. a video projection wall)
423,Object,No (not none),Spectrum,Object has no specific colour,,
424,Object,No (not none),Spectrum,Object has no specific colour,,
425,Object,No (not none),Spectrum,Object is strictly mono-coloured,"Object filters incoming light strongly. If it consists of frequencies different from the object's ones, the object becomes dark",Underexposure (object appears darker than expected
426,Object,No (not none),Spectrum,Object is strictly mono-coloured,,
427,Object,"More (more of, higher)",Spectrum,Object has more (specific) colour(s) than expected,Coloured illumination can change appearance significantly,Colour distortion if illuminated with different colour
428,Object,"More (more of, higher)",Spectrum,Object has more (specific) colour(s) than expected,,"Underexposure, if illuminated with too different colour "
429,Object,"More (more of, higher)",Spectrum,The scene contains more of a certain colour than expected,Auto white balance of the observer is confused by to many occurrences of a certain colour within the scene.,Captured image has different white balance
430,Object,"Less (less of, lower)",Spectrum,Object has less (specific) colour(s) than expected,Colour is no significant identification property,Object not (correctly) recognized
431,Object,"Less (less of, lower)",Spectrum,Object has less (specific) colour(s) than expected,,
432,Object,As well as,Spectrum,Object has both more and less (specific) colour than expected,Combination of more and less,"See More and Less, depending on orientation"
433,Object,As well as,Spectrum,Object has both more and less (specific) colour than expected,Orientation can change appearance unexpectedly,
434,Object,Other than,Spectrum,Object has different colour(s) than expected,Colour can be a misleading identification property,Object not (correctly) recognized
435,Object,Temporal periodic,Spectrum,Colour changes periodically,"Obj. Colour depends on time of recording, but periodically (and hence predictable) ",Mismatch of objects in consecutive images
436,Object,Temporal periodic,Spectrum,Colour changes periodically,Or at least predictable,Periodically incorrect recognition of object
437,Object,Temporal aperiodic,Spectrum,Colour changes aperiodically,"Obj. Colour depends on time of recording, not periodically (and hence not  predictable)",Mismatch of objects in consecutive images
438,Object,Temporal aperiodic,Spectrum,Colour changes aperiodically,,Aperiodically incorrect recognition of object
439,Object,Before,Spectrum,Analogue to Size ,See Size,See Size
440,Object,After,Spectrum,Analogue to Size ,See Size,See Size
441,Object,After,Spectrum,After the object has reached a certain age it has less colour,Colour information is less meaningful,Object not (correctly) recognized
442,Object,Faster,Spectrum,Colour changes faster than expected,See Meaning,Object's state is misinterpreted
443,Object,Slower,Spectrum,Colour changes slower than expected,See Meaning,See Faster
444,Object,No (not none),Texture,Object has no texture,"Object is either monochrome, or is highly reflective or transparent",Texture-based CV alg. will not work
445,Object,No (not none),Texture,Object has no texture,,Less significant points (corners/edges) can be detected
446,Object,"More (more of, higher)",Texture,Object has more texture than expected,Texture can be misleading ,Object not correctly recognized
447,Object,"More (more of, higher)",Texture,Object has more texture than expected,,Texture-sensible CV alg is confused
448,Object,"More (more of, higher)",Texture,Object has more texture than expected,,Virtual object is taken for real
449,Object,"Less (less of, lower)",Texture,Object has less texture than expected,Texture is no significant identification property,Texture-based CV alg. is hampered
450,Object,As well as,Texture,"Object has a combination of (No,) More and Less texture",Object's appearance deviates from expected one,Object not correctly recognized
451,Object,As well as,Texture,Object has a mixture of periodic and aperiodic texture,"Semi-periodic texture: periodic at coarse LOD, but differences in detail",Object not correctly recognized
452,Object,As well as,Texture,Texture resembles silhouette of another object,The Texture is misinterpreted as the other object,Object recognition reports a false positive
453,Object,Part of,Texture,Object has only part of expected texture,Parts of expected texture are missing,See Less
454,Object,Reverse,Texture,Object's texture is inverted,"Object looks like its ""negative""",Object confused or not recognized
455,Object,Other than,Texture,Object has a completely different texture than expected,Texture is a misleading object property,Object is confused with some other or not recognized at all
456,Object,Where else,Texture,Textures are located on objects at other places than expected,The parts of object that are expected to be textured are empty and vice versa,Object parts are confused
457,Object,Spatial periodic,Texture,Obj.texture is periodic,Same appearance of texture on different parts of objects,Object parts are confused
458,Object,Spatial periodic,Texture,Obj.texture is periodic,If the period undercuts half the resolution of the observer spatial aliasing occurs,Stereo alg.s compute wrong depth maps due to mismatch of texture cells
459,Object,Spatial aperiodic,Texture,Obj. texture is aperiodic,"Texture does not precisely repeat, but variations are irrelevant",Irregular (stochastic) mismatches in stereo images
460,Object,Spatial aperiodic,Texture,Obj. texture is aperiodic,"Texture does not precisely repeat, but variations are relevant","Textures are confused, leading to confusion of texture-carrying object( part)s"
461,Object,Temporal periodic,Texture,Obj. texture changes periodically,"Obj. Texture depends on time of recording, but periodically (and hence predictable)",De-synched scene interpretation causes mismatch of objects in consecutive images 
462,Object,Temporal periodic,Texture,Obj. texture changes periodically,,
463,Object,Temporal periodic,Texture,Obj. texture changes periodically ,If the frequency exceeds the frame rate of the observer temporal aliasing occurs,The aliased frequency is treated as the actual one
464,Object,Temporal aperiodic,Texture,Obj. texture. changes aperiodically,"Obj. Texture depends on time of recording, not periodically (and hence not  predictable)",Mismatch of objects in consecutive images
465,Object,Close,Texture,Texture only recognizable if Obj. close to Observer,"Small texture, smears out at larger distances",Object incorrectly recognized at larger distances
466,Object,Close,Texture,Two similar textures are touching on the same object,Borders between the textures are barely visible,"Object recognition hampered, if relevant parts are to be distinguished by their texture"
467,Object,Remote,Texture,Texture only recognizable if obj. at remote distance from observer,"Large texture, not fully recognizable at small distances",Object incorrectly recognized at smaller distances
468,Object,Remote,Texture,Two very different textures are touching on the same object,Borders between the textures create strong contrast there,"Object recognition hampered, if border between textures creates new visual artifacts"
469,Object,Faster,Texture,Texture changes Faster than expected,Object appearance changes during recording - texture smeared out,Texture not recognized 
470,Object,Faster,Texture,Texture changes Faster than expected,If periodic aliasing can occure (see temporal periodic),
471,Object,Slower,Texture,Texture changes Slower than expected,See Meaning,Object's state is misinterpreted
472,Object,Slower,Texture,Texture changes Slower than expected,,
473,Object,Slower,Texture,Texture changes Slower than expected,,
474,Object,Slower,Texture,Texture changes Slower than expected,,
475,Object,No (not none),Reflectance,Obj. has no reflectance,"""No light reflected"," if not transparent, object appears very dark - no features visible"""
476,Object,No (not none),Reflectance,Obj. has no reflectance,,Object confused with shadow
477,Object,No (not none),Reflectance,Obj. has no reflectance,,Object not recognized
478,Object,"More (more of, higher)",Reflectance,Obj. has much Refl. (more than expected),Shiny surface - mirror,Object not recognized
479,Object,"More (more of, higher)",Reflectance,Obj. has much Refl. (more than expected),Overexposure of the observer,Reflected objects taken for real
480,Object,"Less (less of, lower)",Reflectance,Obj. has little Refl. (less than expected),Dull surface - diffuse reflection,See No
481,Object,As well as,Reflectance,Obj. has both shiny and dull surface,Diffuse reflection with highlight/glare,Object recognition distorted by glares
482,Object,As well as,Reflectance,Obj. has both shiny and dull surface,,Local overexposure due to glares
483,Object,Part of,Reflectance,Obj. has only part of expected reflectance,Object appears more dull or less shiny than expected,Obj. confused with others
484,Object,Reverse,Reflectance,Obj. reflects into inverse direction,Obj. appears to violate the reflection law (reflection angle = incidence angle),CV alg. is confused
485,Object,Reverse,Reflectance,Obj. reflects into inverse direction,,See More for retroreflectance
486,Object,Reverse,Reflectance,Obj. reflects into inverse direction,,
487,Object,Reverse,Reflectance,The parts that are expected to be reflecting are dull and vice versa,Special case of Other than,See Other than
488,Object,Other than,Reflectance,Obj. has other refl. properties than expected,Obj.s appearance is (massively) changed,Object not (correctly) recognized
489,Object,Where else,Reflectance,There are multiple reflections on different parts of the object,See As well as,See As well as
490,Object,Spatial periodic,Reflectance,Reflecting surface has spatially periodic changing reflectance properties,"Obj.'s appearance is sensitive to the relative positioning of l.s., obj., and obs., but predictable",Output of CV alg. strongly depends on its position
491,Object,Spatial periodic,Reflectance,Reflecting surface has spatially periodic changing reflectance properties,,
492,Object,Spatial periodic,Reflectance,Reflecting surface has spatially periodic changing reflectance properties,,
493,Object,Spatial aperiodic,Reflectance,Reflecting surface has spatially aperiodic changing reflectance properties,"See Spatial periodic, but not predictable",See Spatial periodic
494,Object,Temporal periodic,Reflectance,Refl. changes periodically with time,"Obj. Refl. depends on time of recording, but periodically (and hence predictable)",Mismatch of objects in consecutive images 
495,Object,Temporal aperiodic,Reflectance,Refl. changes aperiodically with time,"Obj. Refl. depends on time of recording, not periodically (and hence not  predictable)",Mismatch of objects in consecutive images
496,Object,Close,Reflectance,Objects seen through a reflection might appear nearer than they are,See Meaning,Misinterpretation of scene
497,Object,Remote,Reflectance,Objects seen through a reflection might appear to be farer away than they are,See Meaning,See Close
498,Object,Before,Reflectance,Analogue to Size ,See Size,See Size
499,Object,After,Reflectance,Analogue to Size ,See Size,See Size
500,Object,No (not none),Transparency,Obj. is not transparent,Opaque object,Part of scene invisible if object should be transparent - wrong scene interpretation
501,Object,No (not none),Transparency,Obj. is not transparent,,Casts a shadow - therefore the scene is not illuminated as expected
502,Object,"More (more of, higher)",Transparency,Obj. is highly transparent,Transparent object,Object not recognized
503,Object,"More (more of, higher)",Transparency,Obj. is more transparent than expected,,"Objects behind it not correctly recognized due to distortions, e.g. through glass"
504,Object,"More (more of, higher)",Transparency,Obj. is more transparent than expected,,"Objects within it not correctly recognized due to distortions, e.g. through glass"
505,Object,"Less (less of, lower)",Transparency,Obj. is less transparent than expected,Objects behind it are less visible than expected,Objects behind it not correctly recognized due to reduced transp.
506,Object,"Less (less of, lower)",Transparency,Obj. is less transparent than expected,,Casts a shadow see No
507,Object,As well as,Transparency,Obj. is both more and less transp. than expected,Obj. consists of parts with high and low transparency,Object is recognized as several objects
508,Object,As well as,Transparency,Obj. is both more and less transp. than expected,,Object seen through it is recognized as several objects
509,Object,As well as,Transparency,Obj. is both more and less transp. than expected,,Object itself and objects behind it are merged
510,Object,Part of,Transparency,Parts of the object are transparent,See As well as,See As well as
511,Object,Reverse,Transparency,Object transparency is opposite to what is expected,Extreme case of Other than,See Other than
512,Object,Other than,Transparency,Obj. has another transp. than expected,"See More, Less, As well as","See More, Less, As well as"
513,Object,Spatial periodic,Transparency,Transp. of Obj. is spatially periodic,Relative positioning of Obj. and Observer is relevant (for what is seen through),Wrong objects behind transp. Obj.
514,Object,Spatial aperiodic,Transparency,Transp. of Obj. is spatially aperiodic,See Spatial periodic,See Spatial periodic
515,Object,Temporal periodic,Transparency,Transp. changes periodically,"Transp. depends on time of recording, but periodically (and hence predictable)","Temporarily periodic ""Transp."" errors as listed above"
516,Object,Temporal periodic,Transparency,Transp. changes periodically,,Mismatch of objects in consecutive images 
517,Object,Temporal aperiodic,Transparency,Transp. changes aperiodically,"Transp. depends on time of recording, not periodically (and hence not  predictable)","Temporarily periodic ""Transp."" errors as listed above"
518,Object,Temporal aperiodic,Transparency,Transp. changes aperiodically,,Mismatch of objects in consecutive images 
519,Object,Close,Transparency,Visible object transparency is increased for closer objects,See Meaning,Object not recognized
520,Object,Remote,Transparency,Visible object transparency is reduced for more distant objects,See Meaning,Objects behind not correctly recognized
521,Object,Before,Transparency,Analogue to Size ,See Size,See Size
522,Object,After,Transparency,Analogue to Size ,See Size,See Size
523,Object,In front of,Transparency,"Objects in front of a transparent object are visible together with the other object,",See Meaning,Objects are confused
524,Object,Faster,Transparency,Transp. changes faster than expected,See Other than,See Other than
525,Object,Slower,Transparency,Transp. changes slower than expected,See Other than,See Other than
526,Object,No (not none),Wave properties,Received light is not polarized ,No respective visual effects caused by Obj.,CV alg. based on polarization effects are hampered
527,Object,"More (more of, higher)",Wave properties,Received light is more polarized than expected,Reflected light is polarized - rainbow colours appear,Polarization colours confuse CV alg.
528,Object,"Less (less of, lower)",Wave properties,Received light is less polarized than expected,Too few respective visual effects caused by Obj.,CV alg. based on polarization effects won't work
529,Object,As well as,Wave properties,Received light is both more and less polarized than expected (by different object parts),See  More and Less,"Mixture of More and Less effects, depending on orientation"
530,Object,Reverse,Wave properties,Effects on received light is inverse to expected,See Other than,See Other than
531,Object,Other than,Wave properties,Effects on received light is different from expected,Unexpected object appearance,Object not (correctly) recognized
532,Object,Spatial periodic,Wave properties,Polarization changes periodically with location along object,"E.g. polarization plane depends periodically from location, generating positioning and orientation dependent optical effects on object surface",CV alg. confused by resulting periodic virtual texture 
533,Object,Spatial aperiodic,Wave properties,Polarization changes aperiodically with location along object,See Spatial periodic,See Spatial periodic
534,Object,Temporal periodic,Wave properties,Wave properties of reflected/transferred light are periodically modified.,E.g. linear polarization changes regularly over time,Object appearance can be periodically modified in a way the observer is not able to cope with
535,Object,Temporal aperiodic,Wave properties,Wave properties of reflected/transferred light are irregularly modified.,E.g. linear polarization plane rotates irregularly over time,Object appearance can be modified in a way the observer is not able to cope with
536,Objects,No (not none),Number,No objects,Scene with no objects (only light sources and media),False positives: non-existing objects erroneously reported by CV alg.
537,Objects,No (not none),Number,Number of objects is not detectable/decidable,"Scene with ""unknown"" number of objects",False negatives: CV alg. misses detection of some objects
538,Objects,"More (more of, higher)",Number,More objs. than expected,,False positives: non-existent objects reported
539,Objects,"More (more of, higher)",Number,More objs. than expected,Scene is more complex than expected,False negatives: objects are missed
540,Objects,"More (more of, higher)",Number,More objs. than expected,Occlusions between objects are more likely than expected,"""Misinterpretation of number of objects within scene"
541,Objects,"More (more of, higher)",Number,More objs. than expected,,Partial occluded objects remain completely undetected
542,Objects,"More (more of, higher)",Number,More objs. than expected,,An object is covered such that uncovered parts are interpreted as belonging to different objects
543,Objects,"More (more of, higher)",Number,More objs. than expected,,"Parts of different objects are interpreted as some other, non-existent object"
544,Objects,"Less (less of, lower)",Number,Less objs. than expected,Scene is simpler than expected,(Parts of) background interpreted as (foreground) object(s)
545,Objects,"Less (less of, lower)",Number,Less objs. than expected,Less activity within the scene than expected (than usual),False positives: objects erroneously reported by CV alg.
546,Objects,"Less (less of, lower)",Number,Less objs. than expected,Scene is emptier than expected (than usual),
547,Objects,As well as,Number,Both more objs. (of kind X) and less objs. (of kind Y) than expected,Scene is different from expected,Objects of kind X are reported as of kind Y (or vice versa)
548,Objects,As well as,Number,Both more objs. (of kind X) and less objs. (of kind Y) than expected,,Objects of kind X or Y are reported as of some other kind Z
549,Objects,As well as,Number,Both more objs. (of kind X) and less objs. (of kind Y) than expected,,False negatives: objects are missed
550,Objects,As well as,Number,Both more and less objs. than expected ,"Unusual (unexpected) distribution of objects: in some areas of the scene unusual many, in other parts unusual few",See More and Less
551,Objects,Part of,Number,One object is split into multiple objects because parts of the object are covered by a different object or are outside of the view,See Part of Occl.,See Part of Occl.
552,Objects,Other than,Number,Other objs.than expected,Unusual (unexpected) objects within the scene ,False positives: objects are misinterpreted 
553,Objects,Other than,Number,See More and Less,See More and Less,See More and Less
554,Objects,Other than,Number,See More and Less,,
555,Objects,Spatial periodic,Number,Object arrangement is periodical,Observer resolution and windowing have to be appropriate to capture a characteristic arrangement,If resolution of field of view are not appropriate detection based on  characteristic arrangements is corrupted 
556,Objects,Temporal periodic,Number,Number of objects varies Temporal periodically,"Number of obj. in scene depends on time of recording, but periodically (and hence predictable)",Mismatch of objects in consecutive images
557,Objects,Temporal periodic,Number,Number of objects varies Temporal periodically,If the frequency exceeds the frame rate (faster) temporal aliasing occurs,Aliasing frequency is interpreted instead of actual one
558,Objects,Temporal aperiodic,Number,Number of objects varies temporal aperiodically,"Number of Obj. in scene depends on time of recording, not periodically (and hence not predictable)",Mismatch of objects in consecutive images
559,Objects,Close,Number,A number of objs. is closer to observer than expected,See Obj. Pos.,See Obj. Pos.
560,Objects,Remote,Number,A number of objs. is more remote from observer than expected,See Obj. Pos.,See Obj. Pos.
561,Objects,In front of,Number,A number of obj. is in front of each other (in respect to the observer),They cover each other,They are indistinguishable
562,Objects,Behind,Number,See In front of,See In front of,See In front of
563,Objects,Faster,Number,The num. of obj. changes faster than expected,The number of objects in scene depends significantly on time of exposure,Scene phase misinterpreted
564,Objects,Faster,Number,The num. of obj. changes faster than expected,Aliasing see Temporal periodic,
565,Objects,No (not none),Positions,No difference in Position hence multiple objects share the same position,One object completely hides another,Algorithm misses detection of hidden object
566,Objects,No (not none),Positions,No difference in Position hence multiple objects share the same position,Two objects are intertwined but share the same center point,Algorithm sees multiple objects as one
567,Objects,No (not none),Positions,No Positions of Objects relative to each other known,It is not possible to decide how an object is positioned relative to another,Objects order in distance from Observer is confused
568,Objects,No (not none),Positions,No Positions of Objects relative to each other known,,Lateral relationship of objects is misinterpreted
569,Objects,"More (more of, higher)",Positions,More different positions than expected,See Num,See Num
570,Objects,"More (more of, higher)",Positions,More discrete relative Pos.s of Obj.s than expected,Object positions are quantized  at  a greater resolution than expected,CV alg. expects discrete positions but gets positions in between  ? confused 
571,Objects,"More (more of, higher)",Positions,More discrete relative Pos.s of Obj.s than expected,,
572,Objects,"More (more of, higher)",Positions,One or more extends of relative position is bigger than expected,"An arrangement of objects is ""stretched""",CV alg. based on assigning a group of objects to one entity is less likely to find the compound
573,Objects,"Less (less of, lower)",Positions,Relative Pos.s of objects known Less (precisely) than expected,It is difficult to decide how an object is positioned relative to another,Some ordering of objects in distance is confused 
574,Objects,"Less (less of, lower)",Positions,Relative Pos.s of objects known Less (precisely) than expected,,Some lateral relationships of objects are misinterpreted
575,Objects,"Less (less of, lower)",Positions,Less different positions than expected,See Num,See Num
576,Objects,"Less (less of, lower)",Positions,One or more extends of position are smaller than expected,"An arrangement of objects is ""shrunken""",The CV alg. is less likely to distinguish the two objects than to identify them as a one
577,Objects,As well as,Positions,One extend of pos is smaller another is bigger than expected,"See More, Less","See More, Less"
578,Objects,Part of,Positions,Multiple objects are partially overlapping,See No,See No
579,Objects,Part of,Positions,Only part of relative obj. Pos. known,Information about object parts is missing,"Scene misinterpreted, because position of whole objects misleads CV alg."
580,Objects,Reverse,Positions,Two objects have swapped positions (from the expected),Swapped positions create  different scene than expected,CV alg. confuses multiple objects because it expects each object at a specific position or relative position
581,Objects,Other than,Positions,Relative pos. of obj. is Other than expected,Unexpected scene,Scene is completely misinterpreted
582,Objects,Other than,Positions,Relative pos. of obj. is Other than expected,,Parts of scene are misinterpreted
583,Objects,Other than,Positions,Relative pos. of obj. is Other than expected,,An object or some objects not correctly recognized or not recognized at all
584,Objects,Spatial periodic,Positions,Objects are located regularly (same kind),Same kind of objects appear in a geometrically regular pattern,Individual objects are confused
585,Objects,Spatial periodic,Positions,Objects are located regularly (same kind),,Stereo CV alg. mismatches objects/points Þ distances of objects reported incorrectly
586,Objects,Spatial periodic,Positions,Objects are located regularly (different kind),Different kind of objects appear in a geometrically regular pattern,"Only regularity detected, but not the individual objects"
587,Objects,Spatial aperiodic,Positions,Objects are placed in an chaotic unordered fashion,No relative positions can be  expected,CV alg. Cannot use apriori knowledge of positional relations (except of maybe statistical knowledge)
588,Objects,Spatial aperiodic,Positions,Objects are placed in an chaotic unordered fashion,,CV alg. expects special positional relations and is confused if the relation is not happening
589,Objects,Temporal periodic,Positions,Objects relative pos. changes periodically,"Objects relative pos. depends on time of observation (exposure), but reappears periodically and hence predictably","""Unsynchronized"" CV alg. misinterprets scene ""phase"" "
590,Objects,Temporal periodic,Positions,Objects relative pos. changes periodically,,Also aliasing (misinterpretation of frequency) can occur if the period is too short 
591,Objects,Temporal periodic,Positions,Objects relative pos. changes periodically,,Confusion of objects or their positioning
592,Objects,Temporal aperiodic,Positions,"Objects movement schedule diverges from expected periodic movement, hence being aperiodic",There is an expected movement schedule from which the system diverges,CV alg. expects special movement schedule and is confused if the schedule is not met
593,Objects,Temporal aperiodic,Positions,Objects move in an chaotic unordered fashion,No movement schedule can be created,CV alg. cannot use apriori knowledge of movements
594,Objects,Close,Positions,Multiple objects closer together than expected,Visible connection between multiple objects is strengthened,CV alg. might interpret the multiple objects as something different (e.g. a single different object)  
595,Objects,Close,Positions,Multiple objects closer together than expected,Multiple objects directly contact each other,(See Less Pos)
596,Objects,Close,Positions,Multiple objects closer together than expected,(also see Less Pos),
597,Objects,Remote,Positions,Multiple objects are further apart from each other than expected (also see More Pos),Visible connection between multiple objects is weakened,CV alg. might miss essential relationship between multiple objects because they are too far apart
598,Objects,Remote,Positions,Multiple objects are further apart from each other than expected (also see More Pos),(also see More Pos),
599,Objects,Before,Positions,One object is moving earlier than the others,Nn/a,Nn/a
600,Objects,After,Positions,One object is moving later than the others,Nn/a,Nn/a
601,Objects,In front of,Positions,Object is in front of another,"Object covers (partially) another object ? depending on its transparency, the object behind is more or less visible",See Occlusion and Transparency
602,Objects,In front of,Positions,Object is in front of another,,
603,Objects,In front of,Positions,Object is in front of another,,
604,Objects,Faster,Positions,The whole scene acts/moves faster than expected,See Observer Exposure and Quantization,See Observer Exposure and Quantization
605,Objects,Slower,Positions,The whole scene acts/moves slower than expected,See Observer Exposure and Quantization,See Observer Exposure and Quantization
606,Objects,No (not none),Occlusion,Objects are not occluding each other,All objects are completely visible,CV alg. is confused by clutter in scene
607,Objects,No (not none),Occlusion,Objects are not occluding each other,,Too many objects visible for correct and timely processing by CV alg.
608,Objects,"More (more of, higher)",Occlusion,More objects occlude each other than expected,Less details of objects are visible,Detection quality is decreased by less information of needed Objects
609,Objects,"More (more of, higher)",Occlusion,More objects occlude each other than expected,Some objects are occluded to a degree which makes their detection difficult,
610,Objects,"More (more of, higher)",Occlusion,More visible area of an object is occluded by others than expected,Less details of object are visible,Detection quality is decreased by less information of needed Object
611,Objects,"Less (less of, lower)",Occlusion,Less objects occlude each other than expected,More details of objects are visible,Detection quality is decreased by too much clutter in the scene
612,Objects,"Less (less of, lower)",Occlusion,Less objects occlude each other than expected,,See No
613,Objects,"Less (less of, lower)",Occlusion,Less visible area of an object is occluded by others than expected,More details of object are visible,Detection quality is decreased by too much clutter in the scene
614,Objects,"Less (less of, lower)",Occlusion,Less visible area of an object is occluded by others than expected,,See No
615,Objects,As well as,Occlusion,Occluded objects further occlude other objects,Multiple levels of occlusion means most occlusions will remain even if observer moves to a different position,Object separation severely hampered
616,Objects,As well as,Occlusion,Combination of More and Less,See More and Less,See More and Less
617,Objects,Part of,Occlusion,Object is partially occluded,Remaining visible parts have a different appearance than the whole object,Confusion of partial image with another object can create malfunctions 
618,Objects,Reverse,Occlusion,Occlusion is reverted,Object B occludes object A instead A occludes B as usual,Objects are confused (B taken for A)
619,Objects,Other than,Occlusion,See Where else,"Parts of an object which are usually occluded are visible, while others are occluded, which are usually visible",Object is not recognized
620,Objects,Other than,Occlusion,See Where else,,Object is confused with another
621,Objects,Other than,Occlusion,See Where else,,"CV alg. Needs special parts of an object to be covered, a lack of important parts hampers detection "
622,Objects,Where else,Occlusion,Different parts of an object are occluded than expected,Ordered occlusion creates a pattern,CV alg. confuses occlusion pattern with object
623,Objects,Where else,Occlusion,Different parts of an object are occluded than expected,,
624,Objects,Where else,Occlusion,Different parts of an object are occluded than expected,,
625,Objects,Where else,Occlusion,Different parts of an object are occluded than expected,,
626,Objects,Spatial aperiodic,Occlusion,Occl. creates a chaotic /unordered pattern,Occlusions are chaotic,CV alg. is not handling occlusions correctly 
627,Objects,Spatial aperiodic,Occlusion,Occl. creates a chaotic /unordered pattern,,Scene analysis takes longer than allowed
628,Objects,Temporal periodic,Occlusion,Occl. follow a time schedule,See Observer Exposure and Quantization,See Observer Exposure and Quantization
629,Objects,Temporal periodic,Occlusion,Occl. follow a time schedule,Occlusions can be filtered/reduced by time,CV alg. expects occlusions to follow a time schedule but this schedule is not adhered to
630,Objects,Temporal aperiodic,Occlusion,Occl. follow no special time schedule,Occl. cannot be filtered by time,CV alg. cannot filter Occl. by time
631,Objects,Close,Occlusion,Object which occludes another is closer (to Observer) than expected,Remote object is completely hidden by the closer object,Remote object is invisible 
632,Objects,Close,Occlusion,Object which occludes another is closer (to Observer) than expected,,
633,Objects,Close,Occlusion,Object which occludes another is closer (to Observer) than expected,,
634,Objects,Close,Occlusion,Object which occludes another is closer (to Observer) than expected,,
635,Objects,Close,Occlusion,Object which occludes another is closer (to Observer) than expected,,
636,Objects,Remote,Occlusion,Object which occludes another is more Remote (from Observer) than expected,"Nearer object covers only some ""inner part of remote object ? complete silhouette of remote is visible",Closer object is considered as part of remote object
637,Objects,Before,Occlusion,Occl. appear earlier than expected,See Temp. periodic,See Temp. periodic
638,Objects,After,Occlusion,Occl. appear later than expected,See Temp. periodic,See Temp. periodic
639,Objects,Faster,Occlusion,Occl. changes faster than expected,Mixture of effects from Pos. and other of Occl.,Mixture of effects from Pos. and other of Occl.
640,Objects,Slower,Occlusion,Occl. change slower than expected,Mixture of effects from Pos. and other of Occl.,Mixture of effects from Pos. and other of Occl.
641,Objects,No (not none),Shadowing,No shadowing in the scene,No cast shadows visible. Possible reasons:,"Objects not, or wrongly recognized, because their roughness, hills or dips on their surface is not detected"
642,Objects,No (not none),Shadowing,Object is not shadowing the scene,-  only diffuse light,Relationships among objects incorrectly interpreted
643,Objects,No (not none),Shadowing,Object is not shadowing the scene,- Many l.s. in/around scene,Completely occluded object remains undetected (no cast shadow from it visible)
644,Objects,No (not none),Shadowing,Object is not shadowing the scene,- (strong) l.s. very close to observer (e.g. ring light),CV alg. Dependent on shadows Miscalculates the object's position
645,Objects,No (not none),Shadowing,Object is not shadowing the scene,(small (minimal) contrast,
646,Objects,No (not none),Shadowing,Object is not shadowing the scene,Without shadow the object position is more difficult to derive,
647,Objects,No (not none),Shadowing,Object shadow is hidden by other object or lies outside of FOV,Without shadow the object position is more difficult to derive,CV alg. Miscalculates the object's position
648,Objects,"More (more of, higher)",Shadowing,Object has bigger/darker shadow than expected,"Shadow may ""occlude"" more in the scene  than expected",See More Occl.
649,Objects,"More (more of, higher)",Shadowing,Object has bigger/darker shadow than expected,See More Occl.,
650,Objects,"More (more of, higher)",Shadowing,Object is within bigger/darker shadow than expected,See More Occl.,See More Occl.
651,Objects,"More (more of, higher)",Shadowing,More shadowing than expected,Large parts of scene in shadow,Underexposure: objects in shadow not detected
652,Objects,"Less (less of, lower)",Shadowing,Object has smaller/lighter shadow than expected,"Shadow may ""occlude"" less in the scene  than expected",See Less Occl.
653,Objects,"Less (less of, lower)",Shadowing,Object has smaller/lighter shadow than expected,See Less Occl.,
654,Objects,"Less (less of, lower)",Shadowing,Object is within smaller/lighter shadow than expected,See Less Occl.,See Less Occl.
655,Objects,"Less (less of, lower)",Shadowing,Less shadowing than expected,More parts of scene in light than usual,Overexposure: similar to No
